AScaleSubClassType,2488,ObjectType
AbsoluteSubClassType,2478,ObjectType
AccelerationClassType,2265,ObjectType
AccumulatedTimeClassType,2267,ObjectType
ActionSubClassType,2482,ObjectType
ActualSubClassType,2480,ObjectType
ActuatorClassType,2411,ObjectType
ActuatorStateClassType,2146,ObjectType
ActuatorStateClassType_EnumValues,3075,Variable
ActuatorType,2074,ObjectType
AllSubClassType,2484,ObjectType
AlternatingSubClassType,2486,ObjectType
AmperageClassType,2273,ObjectType
AngleClassType,2275,ObjectType
AngularAccelerationClassType,2269,ObjectType
AngularVelocityClassType,2271,ObjectType
AssetChangedClassType,2405,ObjectType
AssetEventDataType,2618,DataType
AssetRemovedClassType,2407,ObjectType
AuxiliariesType,2076,ObjectType
AuxiliarySubClassType,2490,ObjectType
AvailabilityClassType,2149,ObjectType
AvailabilityClassType_EnumValues,3076,Variable
AxesType,2078,ObjectType
AxisCouplingClassType,2152,ObjectType
AxisCouplingClassType_EnumValues,3077,Variable
AxisFeedrateClassType,2277,ObjectType
AxisFeedrateOverrideClassType,2347,ObjectType
AxisInterlockClassType,2155,ObjectType
AxisInterlockClassType_EnumValues,3078,Variable
AxisStateClassType,2158,ObjectType
AxisStateClassType_EnumValues,3079,Variable
BScaleSubClassType,2496,ObjectType
BadSubClassType,2492,ObjectType
BarFeederInterfaceType,2080,ObjectType
BarFeederType,2082,ObjectType
BlockClassType,2363,ObjectType
BlockCountClassType,2349,ObjectType
BrinellSubClassType,2494,ObjectType
CScaleSubClassType,2504,ObjectType
ChuckInterfaceType,2084,ObjectType
ChuckInterlockClassType,2161,ObjectType
ChuckInterlockClassType_EnumValues,3080,Variable
ChuckStateClassType,2164,ObjectType
ChuckStateClassType_EnumValues,3081,Variable
ChuckType,2086,ObjectType
ClockTimeClassType,2279,ObjectType
CloseChuckClassType,2256,ObjectType
CloseChuckClassType_EnumValues,3106,Variable
CloseDoorClassType,2250,ObjectType
CloseDoorClassType_EnumValues,3104,Variable
CommandedSubClassType,2498,ObjectType
CommunicationsClassType,2413,ObjectType
CompositionStateClassType,2173,ObjectType
CompositionStateClassType_EnumValues,3084,Variable
ConcentrationClassType,2281,ObjectType
ConductivityClassType,2283,ObjectType
ControlSubClassType,2502,ObjectType
ControllerModeClassType,2167,ObjectType
ControllerModeClassType_EnumValues,3082,Variable
ControllerModeOverrideClassType,2176,ObjectType
ControllerModeOverrideClassType_EnumValues,3085,Variable
ControllerType,2088,ObjectType
CoolantType,2090,ObjectType
CoupledAxesClassType,2365,ObjectType
DScaleSubClassType,2512,ObjectType
DataRangeClassType,2415,ObjectType
DelaySubClassType,2506,ObjectType
DielectricType,2092,ObjectType
DirectSubClassType,2508,ObjectType
DirectionClassType,2179,ObjectType
DirectionClassType_EnumValues,3086,Variable
DisplacementClassType,2285,ObjectType
DoorInterfaceType,2094,ObjectType
DoorStateClassType,2182,ObjectType
DoorStateClassType_EnumValues,3087,Variable
DoorType,2096,ObjectType
DryRunSubClassType,2510,ObjectType
ElectricType,2098,ObjectType
ElectricalEnergyClassType,2287,ObjectType
EmergencyStopClassType,2185,ObjectType
EmergencyStopClassType_EnumValues,3088,Variable
EnclosureType,2100,ObjectType
EndOfBarClassType,2188,ObjectType
EndOfBarClassType_EnumValues,3089,Variable
EnvironmentalType,2102,ObjectType
EquipmentModeClassType,2191,ObjectType
EquipmentModeClassType_EnumValues,3090,Variable
EquipmentTimerClassType,2289,ObjectType
ExecutionClassType,2170,ObjectType
ExecutionClassType_EnumValues,3083,Variable
FeederType,2104,ObjectType
FillLevelClassType,2291,ObjectType
FixtureSubClassType,2514,ObjectType
FlowClassType,2293,ObjectType
FrequencyClassType,2295,ObjectType
FunctionalModeClassType,2194,ObjectType
FunctionalModeClassType_EnumValues,3091,Variable
GoodSubClassType,2500,ObjectType
HardnessClassType,2351,ObjectType
HardwareClassType,2419,ObjectType
HasMTClassType,2680,ReferenceType
HasMTComposition,2687,ReferenceType
HasMTReference,2672,ReferenceType
HasMTSource,2689,ReferenceType
HasMTSubClassType,2683,ReferenceType
HydraulicType,2106,ObjectType
IncrementalSubClassType,2516,ObjectType
InterfaceStateClassType,2227,ObjectType
InterfaceStateClassType_EnumValues,3097,Variable
